correct,type
left,congruent
left,congruent
left,congruent
left,congruent
left,congruent
left,congruent
left,congruent
left,congruent
left,incongruent
left,incongruent
left,incongruent
left,incongruent
left,incongruent
left,incongruent
left,incongruent
left,incongruent
left,neutral
left,neutral
left,neutral
left,neutral
left,neutral
left,neutral
left,neutral
left,neutral
right,congruent
right,congruent
right,congruent
right,congruent
right,congruent
right,congruent
right,congruent
right,congruent
right,incongruent
right,incongruent
right,incongruent
right,incongruent
right,incongruent
right,incongruent
right,incongruent
right,incongruent
right,neutral
right,neutral
right,neutral
right,neutral
right,neutral
right,neutral
right,neutral
right,neutral
