text,color
blue,blue
red,red
green,green
yellow,yellow
blue,blue
red,red
green,green
yellow,yellow
blue,blue
red,red
green,green
yellow,yellow
blue,blue
red,red
green,green
yellow,yellow
blue,red
blue,green
blue,yellow
red,green
red,yellow
red,blue
green,yellow
green,blue
green,red
yellow,blue
yellow,red
yellow,green
blue,red
blue,green
blue,yellow
red,green
red,yellow
red,blue
green,yellow
green,blue
green,red
yellow,blue
yellow,red
yellow,green
blue,red
blue,green
red,green
red,yellow
green,yellow
green,blue
yellow,blue
yellow,red
